"date","day","period","nswprice","nswdemand","vicprice","vicdemand","transfer","class"
0.872262,7,0.234043,0.031194,0.19994,0.001967,0.226567,0.867105,UP
0.872262,7,0.255319,0.034616,0.235942,0.002048,0.247799,0.873246,UP
0.872262,7,0.276596,0.038009,0.283993,0.002075,0.271103,0.785526,UP
0.872262,7,0.297872,0.032485,0.34097,0.001425,0.287157,0.895175,UP
0.872262,7,0.319149,0.059986,0.380839,0.002422,0.299845,0.895175,UP
0.872262,7,0.340426,0.040741,0.429485,0.002075,0.333506,0.873246,UP
0.872262,7,0.361702,0.039,0.44213,0.002075,0.332729,0.851316,UP
0.872262,7,0.382979,0.037619,0.443767,0.002075,0.342051,0.851316,UP
0.872262,7,0.404255,0.034977,0.439006,0.002075,0.344381,0.851316,UP
0.872262,7,0.425532,0.031794,0.437667,0.001994,0.343604,0.851316,DOWN
0.872262,7,0.446809,0.034376,0.437221,0.002075,0.348524,0.828509,UP
0.872262,7,0.468085,0.033355,0.425766,0.002048,0.340238,0.847368,UP
0.872262,7,0.489362,0.033055,0.421303,0.002048,0.339461,0.840351,UP
0.872262,7,0.510638,0.032545,0.412972,0.002048,0.329622,0.850877,UP
0.872262,7,0.531915,0.034376,0.408212,0.002075,0.319006,0.841228,UP
0.872262,7,0.553191,0.034196,0.395864,0.002075,0.316157,0.851316,UP
0.872262,7,0.574468,0.032545,0.39036,0.002048,0.306059,0.84386,UP
0.872262,7,0.595745,0.029422,0.382624,0.00173,0.300104,0.835088,DOWN
0.872262,7,0.617021,0.029272,0.384558,0.001545,0.297514,0.842544,DOWN
0.872262,7,0.638298,0.028822,0.384112,0.00081,0.300363,0.835088,DOWN
0.872262,7,0.659574,0.029903,0.387236,0.001577,0.310461,0.860526,DOWN
0.872262,7,0.680851,0.028942,0.370872,0.000995,0.314604,0.835088,DOWN
0.872262,7,0.702128,0.028822,0.373996,0.000814,0.320818,0.835088,DOWN
0.872262,7,0.723404,0.030683,0.369682,0.001967,0.31564,0.860526,DOWN
0.872262,7,0.744681,0.030653,0.36507,0.001967,0.299586,0.860526,DOWN
0.872262,7,0.765957,0.029723,0.349598,0.001572,0.2768,0.835088,DOWN
0.872262,7,0.787234,0.028312,0.351681,0.00081,0.266442,0.835088,DOWN
0.872262,7,0.808511,0.029392,0.370723,0.001371,0.283791,0.835088,DOWN
0.872262,7,0.829787,0.030323,0.370277,0.001232,0.319782,0.813158,DOWN
0.872262,7,0.851064,0.032575,0.347813,0.002021,0.305282,0.836842,UP
0.872262,7,0.87234,0.033175,0.320887,0.002021,0.287675,0.858772,UP
0.872262,7,0.893617,0.036358,0.341267,0.002075,0.261781,0.873246,UP
0.872262,7,0.914894,0.032935,0.338441,0.001838,0.24262,0.835088,UP
0.872262,7,0.93617,0.034887,0.339482,0.002075,0.229415,0.865789,UP
0.872262,7,0.957447,0.036087,0.313448,0.001865,0.236147,0.835088,UP
0.872262,7,0.978723,0.029783,0.292919,0.000968,0.307613,0.791228,DOWN
0.872262,7,1,0.029152,0.249479,0.000945,0.299845,0.710088,DOWN
0.872307,1,0,0.028522,0.222702,0.000692,0.272139,0.688158,DOWN
0.872307,1,0.021277,0.02615,0.183725,0.000827,0.243397,0.732018,DOWN
0.872307,1,0.042553,0.024829,0.148616,0.000841,0.307872,0.732018,DOWN
0.872307,1,0.06383,0.021706,0.1205,0.000839,0.286898,0.732018,DOWN
0.872307,1,0.085106,0.019395,0.099821,0.000839,0.240031,0.753947,DOWN
0.872307,1,0.106383,0.015672,0.084945,0.000818,0.207147,0.747368,DOWN
0.872307,1,0.12766,0.008376,0.079887,0.000534,0.177887,0.862281,DOWN
0.872307,1,0.148936,0.01312,0.079589,0.000839,0.166753,0.865351,DOWN
0.872307,1,0.170213,0.010238,0.083755,0.000654,0.144485,0.812281,DOWN
0.872307,1,0.191489,0.012219,0.091639,0.000783,0.132574,0.80614,DOWN
0.872307,1,0.212766,0.01267,0.106367,0.00081,0.135163,0.827632,DOWN
0.872307,1,0.234043,0.012459,0.112467,0.000796,0.132056,0.797807,DOWN
0.872307,1,0.255319,0.01279,0.13017,0.000818,0.136458,0.87807,DOWN
0.872307,1,0.276596,0.018524,0.172716,0.00081,0.149146,0.885526,DOWN
0.872307,1,0.297872,0.022577,0.218536,0.00081,0.152512,0.885526,DOWN
0.872307,1,0.319149,0.02603,0.262719,0.000829,0.174262,0.885526,DOWN
0.872307,1,0.340426,0.028221,0.30839,0.000717,0.192387,0.841667,UP
0.872307,1,0.361702,0.028852,0.338143,0.000829,0.210772,0.841667,UP
0.872307,1,0.382979,0.028822,0.349152,0.000835,0.224236,0.841667,UP
0.872307,1,0.404255,0.028822,0.3554,0.000835,0.232004,0.841667,UP
0.872307,1,0.425532,0.029362,0.352722,0.000823,0.226308,0.841667,UP
0.872307,1,0.446809,0.029002,0.354656,0.000727,0.22087,0.841667,UP
0.872307,1,0.468085,0.029993,0.364921,0.001016,0.253237,0.841667,UP
0.872307,1,0.489362,0.029182,0.360607,0.000829,0.231227,0.841667,UP
0.872307,1,0.510638,0.029182,0.360309,0.000831,0.242361,0.841667,UP
0.872307,1,0.531915,0.028402,0.356739,0.000837,0.238477,0.885526,UP
0.872307,1,0.553191,0.028702,0.361648,0.000837,0.233817,0.885526,UP
0.872307,1,0.574468,0.028822,0.362541,0.000831,0.234852,0.863596,UP
0.872307,1,0.595745,0.029362,0.369235,0.000827,0.231486,0.859211,UP
0.872307,1,0.617021,0.030023,0.380095,0.001369,0.238219,0.859211,UP
0.872307,1,0.638298,0.030113,0.384409,0.001032,0.246504,0.877632,UP
0.872307,1,0.659574,0.033325,0.396906,0.002075,0.257639,0.895175,UP
0.872307,1,0.680851,0.033566,0.399435,0.002075,0.250906,0.895175,UP
0.872307,1,0.702128,0.037018,0.415204,0.002075,0.26463,0.895175,UP
0.872307,1,0.723404,0.037889,0.419667,0.002075,0.27421,0.895175,UP
0.872307,1,0.744681,0.036598,0.41922,0.002075,0.258156,0.908333,UP
0.872307,1,0.765957,0.036027,0.407766,0.002075,0.239254,0.908333,UP
0.872307,1,0.787234,0.035547,0.417138,0.002075,0.234076,0.917105,UP
0.872307,1,0.808511,0.035127,0.440196,0.002075,0.270844,0.917105,UP
0.872307,1,0.829787,0.034676,0.43499,0.002075,0.309943,0.895175,UP
0.872307,1,0.851064,0.035937,0.398393,0.002075,0.294666,0.895175,UP
0.872307,1,0.87234,0.033866,0.35659,0.002075,0.27421,0.90614,UP
0.872307,1,0.893617,0.034917,0.361797,0.002075,0.248317,0.90614,UP
0.872307,1,0.914894,0.032785,0.352276,0.001838,0.215691,0.900877,UP
0.872307,1,0.93617,0.033926,0.346921,0.002048,0.209477,0.939035,UP
0.872307,1,0.957447,0.032545,0.318804,0.001626,0.207405,0.900877,UP
0.872307,1,0.978723,0.033145,0.291877,0.001843,0.272657,0.867982,UP
0.872307,1,1,0.028642,0.255281,0.000827,0.280166,0.852632,UP
0.872351,2,0,0.028071,0.237281,0.000841,0.258415,0.841667,UP
0.872351,2,0.021277,0.027861,0.207528,0.000839,0.237442,0.841667,UP
0.872351,2,0.042553,0.027381,0.175989,0.000841,0.300621,0.797807,UP
0.872351,2,0.06383,0.027561,0.156055,0.000841,0.28405,0.797807,UP
0.872351,2,0.085106,0.023208,0.135376,0.000837,0.247022,0.797807,DOWN
0.872351,2,0.106383,0.020566,0.131955,0.000835,0.210772,0.819737,DOWN
0.872351,2,0.12766,0.019395,0.131062,0.000839,0.201968,0.863596,DOWN
0.872351,2,0.148936,0.020806,0.141476,0.000839,0.194459,0.885526,DOWN
0.872351,2,0.170213,0.031494,0.172419,0.000839,0.208441,0.885526,UP
0.872351,2,0.191489,0.028462,0.212139,0.000841,0.234076,0.885526,UP
0.872351,2,0.212766,0.030803,0.29158,0.00161,0.308648,0.826754,UP
0.872351,2,0.234043,0.044314,0.370574,0.000893,0.370274,0.782018,UP
0.872351,2,0.255319,0.029152,0.400327,0.00173,0.467374,0.696053,DOWN
0.872351,2,0.276596,0.032214,0.460131,0.002065,0.536769,0.629386,UP
0.872351,2,0.297872,0.02636,0.490479,0.00167,0.511652,0.75614,DOWN
0.872351,2,0.319149,0.027141,0.517554,0.000841,0.495598,0.717544,DOWN
0.872351,2,0.340426,0.027021,0.569473,0.001643,0.509322,0.799561,DOWN
0.872351,2,0.361702,0.027051,0.590301,0.001664,0.519679,0.812281,DOWN
0.872351,2,0.382979,0.028552,0.585242,0.001747,0.520456,0.783772,DOWN
0.872351,2,0.404255,0.028792,0.576168,0.00177,0.529777,0.796053,DOWN
0.872351,2,0.425532,0.029693,0.574978,0.001834,0.53651,0.739912,DOWN
0.872351,2,0.446809,0.031734,0.575573,0.001992,0.541688,0.788158,UP
0.872351,2,0.468085,0.028912,0.568432,0.001953,0.529001,0.804386,DOWN
0.872351,2,0.489362,0.028372,0.563374,0.001768,0.53392,0.829825,DOWN
0.872351,2,0.510638,0.027711,0.564118,0.001762,0.552305,0.816667,DOWN
0.872351,2,0.531915,0.028642,0.561886,0.001766,0.559037,0.767105,DOWN
0.872351,2,0.553191,0.027621,0.558316,0.001701,0.559296,0.801316,DOWN
0.872351,2,0.574468,0.02675,0.548646,0.001651,0.557742,0.804825,DOWN
0.872351,2,0.595745,0.027261,0.542844,0.00168,0.555412,0.797807,DOWN
0.872351,2,0.617021,0.030203,0.543291,0.001865,0.552305,0.77193,DOWN
0.872351,2,0.638298,0.027981,0.542844,0.001724,0.547126,0.766228,DOWN
0.872351,2,0.659574,0.028191,0.546117,0.001741,0.554117,0.774123,DOWN
0.872351,2,0.680851,0.027441,0.528712,0.001695,0.551787,0.766228,DOWN
0.872351,2,0.702128,0.027381,0.512199,0.001695,0.534697,0.814912,DOWN
0.872351,2,0.723404,0.02657,0.478727,0.001591,0.490937,0.832895,DOWN
0.872351,2,0.744681,0.027171,0.450164,0.001045,0.441222,0.798246,DOWN
0.872351,2,0.765957,0.028161,0.425915,0.000978,0.421284,0.760088,DOWN
0.872351,2,0.787234,0.028822,0.424725,0.000978,0.412222,0.747368,DOWN
0.872351,2,0.808511,0.028762,0.443767,0.000995,0.403677,0.747368,DOWN
0.872351,2,0.829787,0.027471,0.432014,0.001658,0.414811,0.747368,DOWN
0.872351,2,0.851064,0.027681,0.394377,0.00114,0.399793,0.725439,DOWN
0.872351,2,0.87234,0.027951,0.355995,0.000841,0.366132,0.690351,DOWN
0.872351,2,0.893617,0.028792,0.383963,0.000841,0.329622,0.69693,UP
0.872351,2,0.914894,0.028462,0.390806,0.000866,0.291559,0.767105,DOWN
0.872351,2,0.93617,0.029783,0.410295,0.000841,0.276541,0.775877,UP
0.872351,2,0.957447,0.030233,0.421601,0.000841,0.26696,0.784649,UP
0.872351,2,0.978723,0.033626,0.41208,0.001172,0.354221,0.732018,UP
0.872351,2,1,0.034286,0.379798,0.001344,0.354997,0.738596,UP
0.872395,3,0,0.032365,0.343053,0.001587,0.330399,0.747368,UP
0.872395,3,0.021277,0.031194,0.283844,0.000858,0.302434,0.690351,UP
0.872395,3,0.042553,0.033085,0.231776,0.001404,0.365096,0.659649,UP
0.872395,3,0.06383,0.033325,0.191312,0.00085,0.334801,0.646491,UP
0.872395,3,0.085106,0.035547,0.164981,0.000831,0.291041,0.63114,UP
0.872395,3,0.106383,0.018014,0.148319,0.00092,0.265924,0.797807,DOWN
0.872395,3,0.12766,0.019335,0.143261,0.000841,0.253237,0.819737,DOWN
0.872395,3,0.148936,0.023028,0.151443,0.000841,0.24521,0.819737,DOWN
0.872395,3,0.170213,0.027291,0.181196,0.000841,0.256862,0.841667,DOWN
0.872395,3,0.191489,0.028702,0.220173,0.000872,0.28146,0.841667,DOWN
0.872395,3,0.212766,0.030203,0.305118,0.001863,0.343863,0.804825,UP
