date,day,period,nswprice,nswdemand,vicprice,vicdemand,transfer,class
4101,0.009911,3,0.446809,0.041732,0.602499,0.003467,0.422915,0.414912,DOWN
17736,0.442591,7,0.510638,0.081662,0.480363,0.005509,0.33014,0.500526,UP
8567,0.026282,5,0.489362,0.09205,0.470544,0.003467,0.422915,0.414912,UP
37852,0.893589,6,0.595745,0.077129,0.601755,0.004674,0.626877,0.529825,DOWN
1946,0.004823,7,0.553191,0.076828,0.464148,0.003467,0.422915,0.414912,UP
37639,0.890315,2,0.148936,0.030473,0.227611,0.001772,0.327033,0.746053,DOWN
29253,0.86713,2,0.446809,0.063949,0.535852,0.004375,0.371051,0.439912,UP
10403,0.031061,1,0.744681,0.062838,0.429039,0.003467,0.422915,0.414912,DOWN
23434,0.460112,7,0.212766,0.02636,0.156501,0.001757,0.195753,0.620614,DOWN
15563,0.434494,4,0.234043,0.055842,0.382178,0.003467,0.422915,0.414912,UP
19388,0.447148,6,0.93617,0.042572,0.555787,0.00284,0.423356,0.60307,DOWN
25003,0.464625,4,0.914894,0.029182,0.353169,0.002025,0.361471,0.316228,DOWN
44271,0.911774,7,0.319149,0.053561,0.412675,0.003511,0.375453,0.664912,DOWN
32481,0.876333,6,0.702128,0.034496,0.692056,0.002254,0.599171,0.610088,UP
42039,0.903544,2,0.829787,0.042813,0.469057,0.002896,0.449508,0.382456,DOWN
29927,0.867749,2,0.489362,0.028642,0.581821,0.00183,0.56318,0.729386,DOWN
29043,0.866953,5,0.06383,0.030563,0.157394,0.002125,0.221906,0.712281,DOWN
7292,0.022034,6,0.93617,0.068302,0.269563,0.003467,0.422915,0.414912,UP
24915,0.464581,3,0.06383,0.055152,0.253198,0.003739,0.400829,0.396053,DOWN
33457,0.880315,6,0.021277,0.046325,0.397501,0.003066,0.322631,0.508333,UP
526,0.000442,5,0.978723,0.13093,0.489735,0.003467,0.422915,0.414912,UP
37945,0.893677,1,0.531915,0.045575,0.421303,0.002788,0.390212,0.68114,DOWN
10983,0.031592,6,0.829787,0.07944,0.316126,0.003467,0.422915,0.414912,UP
