Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Min Packet Length,Max Packet Length,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWE Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Avg Fwd Segment Size,Avg Bwd Segment Size,Fwd Header Length.1,Fwd Avg Bytes/Bulk,Fwd Avg Packets/Bulk,Fwd Avg Bulk Rate,Bwd Avg Bytes/Bulk,Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,Init_Win_bytes_forward,Init_Win_bytes_backward,act_data_pkt_fwd,min_seg_size_forward,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
39,1,1,6,6,6,6,6.0,0.0,6,6,6.0,0.0,307692.3077,51282.05128,39.0,0.0,39,39,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,20,20,25641.02564,25641.02564,6,6,6.0,0.0,0.0,0,0,0,0,1,1,0,0,1,9.0,6.0,6.0,20,0,0,0,0,0,0,1,6,1,6,343,258,0,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
2017972,5,0,30,0,6,6,6.0,0.0,0,0,0.0,0.0,14.86641044,2.4777350730000003,504493.0,1006976.997,2014958,4,2017972,504493.0,1006976.997,2014958,4,0,0.0,0.0,0,0,0,0,0,0,100,0,2.4777350730000003,0.0,6,6,6.0,0.0,0.0,0,0,0,0,1,0,0,0,0,7.2,6.0,0.0,100,0,0,0,0,0,0,5,30,0,0,256,-1,4,20,0.0,0.0,0,0,0.0,0.0,0,0,DoS
822364,3,6,26,11607,20,0,8.666666667000001,10.26320288,5840,0,1934.5,2538.9192780000008,14145.80405,10.94405884,102795.5,290276.092,821192,2,823,411.5,289.2066735,616,207,822362,164472.4,367117.5795,821192,4,0,0,0,0,72,132,3.648019612,7.2960392239999985,0,5840,1163.3,2138.329153,4572451.567,0,0,0,1,0,0,0,0,2,1292.555556,8.666666667000001,1934.5,72,0,0,0,0,0,0,3,26,6,11607,8192,229,2,20,0.0,0.0,0,0,0.0,0.0,0,0,DoS
6593942,4,0,24,0,6,6,6.0,0.0,0,0,0.0,0.0,3.639704444,0.606617407,2197980.667,3806340.421,6593164,348,6593942,2197980.667,3806340.421,6593164,348,0,0.0,0.0,0,0,0,0,0,0,80,0,0.606617407,0.0,6,6,6.0,0.0,0.0,0,0,0,0,1,0,0,0,0,7.5,6.0,0.0,80,0,0,0,0,0,0,4,24,0,0,256,-1,3,20,778.0,0.0,778,778,6593164.0,0.0,6593164,6593164,DoS
4699090,5,0,30,0,6,6,6.0,0.0,0,0,0.0,0.0,6.384214816,1.064035803,1174772.5,2348297.705,4697219,257,4699090,1174772.5,2348297.705,4697219,257,0,0.0,0.0,0,0,0,0,0,0,100,0,1.064035803,0.0,6,6,6.0,0.0,0.0,0,0,0,0,1,0,0,0,0,7.2,6.0,0.0,100,0,0,0,0,0,0,5,30,0,0,256,-1,4,20,0.0,0.0,0,0,0.0,0.0,0,0,DoS
839479,3,7,26,11607,20,0,8.666666667000001,10.26320288,4380,0,1658.142857,1942.8772850000007,13857.40441,11.91215027,93275.44444,278546.7255,836063,45,2857,1428.5,1952.321823,2809,48,839422,139903.6667,341048.8159,836063,45,0,0,0,0,72,152,3.573645082,8.338505192000001,0,4380,1057.5454550000004,1720.253084,2959270.673,0,0,0,1,0,0,0,0,2,1163.3,8.666666667000001,1658.142857,72,0,0,0,0,0,0,3,26,7,11607,8192,229,2,20,0.0,0.0,0,0,0.0,0.0,0,0,DoS
918139,3,5,26,11607,20,0,8.666666667000001,10.26320288,7215,0,2321.4,3327.769794000001,12670.19482,8.713277619,131162.7143,346688.8314,917379,4,563,281.5,324.5620126,511,52,918094,229523.5,458570.3911,917379,4,0,0,0,0,72,112,3.267479107,5.4457985120000005,0,7215,1292.555556,2650.585648,7025604.278,0,0,0,1,0,0,0,0,1,1454.125,8.666666667000001,2321.4,72,0,0,0,0,0,0,3,26,5,11607,8192,229,2,20,0.0,0.0,0,0,0.0,0.0,0,0,DoS
12213785,5,0,30,0,6,6,6.0,0.0,0,0,0.0,0.0,2.456241042,0.409373507,3053446.25,6105545.241,12200000,1,12200000,3053446.25,6105545.241,12200000,1,0,0.0,0.0,0,0,0,0,0,0,100,0,0.409373507,0.0,6,6,6.0,0.0,0.0,0,0,0,0,1,0,0,0,0,7.2,6.0,0.0,100,0,0,0,0,0,0,5,30,0,0,256,-1,4,20,2021.0,0.0,2021,2021,12200000.0,0.0,12200000,12200000,DoS
722125,3,5,26,11601,20,0,8.666666667000001,10.26320288,8760,0,2320.2,3668.897,16101.09053,11.0784144,103160.7143,264952.6956,703829,4,17969,8984.5,12700.3449,17965,4,722026,180506.5,348981.7907,703829,118,0,0,0,0,72,112,4.154405401,6.924009001,0,8760,1291.888889,2866.607422,8217438.111,0,0,0,1,0,0,0,0,1,1453.375,8.666666667000001,2320.2,72,0,0,0,0,0,0,3,26,5,11601,8192,229,2,20,0.0,0.0,0,0,0.0,0.0,0,0,DoS
723017,3,5,26,11601,20,0,8.666666667000001,10.26320288,4380,0,2320.2,2207.341206,16081.22631,11.06474675,103288.1429,268133.5101,711286,2,11318,5659.0,8000.206122,11316,2,722868,180717.0,353751.3195,711286,158,0,0,0,0,72,112,4.149280031,6.915466717999999,0,4380,1291.888889,1980.710254,3923213.111,0,0,0,1,0,0,0,0,1,1453.375,8.666666667000001,2320.2,72,0,0,0,0,0,0,3,26,5,11601,8192,229,2,20,0.0,0.0,0,0,0.0,0.0,0,0,DoS
2059002,5,0,30,0,6,6,6.0,0.0,0,0,0.0,0.0,14.57016555,2.428360924,514750.5,1027485.993,2055979,4,2059002,514750.5,1027485.993,2055979,4,0,0.0,0.0,0,0,0,0,0,0,100,0,2.428360924,0.0,6,6,6.0,0.0,0.0,0,0,0,0,1,0,0,0,0,7.2,6.0,0.0,100,0,0,0,0,0,0,5,30,0,0,256,-1,4,20,0.0,0.0,0,0,0.0,0.0,0,0,DoS
1757646,3,5,26,11607,20,0,8.666666667000001,10.26320288,7215,0,2321.4,3327.769794000001,6618.51135,4.551542233,251092.2857,663916.3516,1756713,5,679,339.5,259.5081887,523,156,1757634,439408.5,878203.0597,1756713,5,0,0,0,0,72,112,1.706828337,2.844713896,0,7215,1292.555556,2650.585648,7025604.278,0,0,0,1,0,0,0,0,1,1454.125,8.666666667000001,2321.4,72,0,0,0,0,0,0,3,26,5,11607,8192,229,2,20,0.0,0.0,0,0,0.0,0.0,0,0,DoS
819653,3,5,26,11607,20,0,8.666666667000001,10.26320288,8675,0,2321.4,3769.536019,14192.59126,9.760227804,117093.2857,309316.9434,818558,4,906,453.0,407.293506,741,165,819577,204894.25,409109.3796,818558,4,0,0,0,0,72,112,3.660085426,6.100142377,0,8675,1292.555556,2931.429562000001,8593279.277999999,0,0,0,1,0,0,0,0,1,1454.125,8.666666667000001,2321.4,72,0,0,0,0,0,0,3,26,5,11607,8192,229,2,20,0.0,0.0,0,0,0.0,0.0,0,0,DoS
8962260,5,0,30,0,6,6,6.0,0.0,0,0,0.0,0.0,3.3473699710000004,0.557894995,2240565.0,4480450.0,8961240,274,8962260,2240565.0,4480450.0,8961240,274,0,0.0,0.0,0,0,0,0,0,0,100,0,0.557894995,0.0,6,6,6.0,0.0,0.0,0,0,0,0,1,0,0,0,0,7.2,6.0,0.0,100,0,0,0,0,0,0,5,30,0,0,256,-1,4,20,1020.0,0.0,1020,1020,8961240.0,0.0,8961240,8961240,DoS
8021778,5,0,30,0,6,6,6.0,0.0,0,0,0.0,0.0,3.739819277,0.623303213,2005444.5,4009173.183,8019204,1,8021778,2005444.5,4009173.183,8019204,1,0,0.0,0.0,0,0,0,0,0,0,100,0,0.623303213,0.0,6,6,6.0,0.0,0.0,0,0,0,0,1,0,0,0,0,7.2,6.0,0.0,100,0,0,0,0,0,0,5,30,0,0,256,-1,4,20,2574.0,0.0,2574,2574,8019204.0,0.0,8019204,8019204,DoS
